year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2017,Director,Dunkirk,Christopher Nolan,0,0,0,,106,525600000.0,8.1,8.4,94,0,0,0,1,0,0,0,1,0
2017,Director,Get Out,Jordan Peele,0,0,0,,104,255000000.0,7.7,7.2,84,1,1,0,0,0,1,0,0,0
2017,Director,Lady Bird,Greta Gerwig,0,0,0,,94,44200000.0,7.8,7.2,94,1,1,0,0,0,0,0,0,1
2017,Director,Phantom Thread,Paul Thomas Anderson,0,0,0,,130,18000000.0,8.0,7.5,90,1,1,0,0,0,0,0,0,1
2017,Director,The Shape of Water,Guillermo del Toro,1,1,0,,123,67000000.0,7.8,7.1,87,1,1,0,0,0,0,0,0,1
