year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2017,Adapted Screenplay,Call Me by Your Name,Screenplay by James Ivory,1,0,0,,132,22000000.0,8.2,7.4,93,0,1,0,0,0,0,0,0,1
2017,Adapted Screenplay,The Disaster Artist,Screenplay by Scott Neustadter & Michael H. Weber,0,0,0,,104,27600000.0,7.8,7.7,76,1,1,0,0,0,0,0,0,1
2017,Adapted Screenplay,Logan,Screenplay by Scott Frank & James Mangold and Michael Green; Story by James Mangold,0,0,0,,137,616800000.0,8.1,8.4,77,1,1,0,0,0,1,0,0,0
2017,Adapted Screenplay,Molly's Game,Written for the screen by Aaron Sorkin,0,0,0,,140,50300000.0,7.6,7.4,71,1,1,0,0,0,0,0,0,1
2017,Adapted Screenplay,Mudbound,Screenplay by Virgil Williams and Dee Rees,0,0,0,,134,36011,7.5,6.2,85,1,1,0,0,0,0,0,0,1
