year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2017,Supporting Actor,The Florida Project,Willem Dafoe,0,0,0,,111,6700000.0,7.7,6.8,92,1,0,0,0,0,0,0,0,1
2017,Supporting Actor,"Three Billboards outside Ebbing, Missouri",Woody Harrelson,0,0,0,,115,91100000.0,8.3,7.4,88,0,1,0,0,0,0,0,0,1
2017,Supporting Actor,The Shape of Water,Richard Jenkins,0,0,0,,123,67000000.0,7.8,7.1,87,1,1,0,0,0,0,0,0,1
2017,Supporting Actor,All the Money in the World,Christopher Plummer,0,0,0,,132,44200000.0,7.1,6.4,72,1,1,0,0,0,0,0,0,1
2017,Supporting Actor,"Three Billboards outside Ebbing, Missouri",Sam Rockwell,1,1,1,,115,91100000.0,8.3,7.4,88,0,1,0,0,0,0,0,0,1
