year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2017,Actress,The Shape of Water,Sally Hawkins,0,0,0,,123,67000000.0,7.8,7.1,87,1,1,0,0,0,0,0,0,1
2017,Actress,"Three Billboards outside Ebbing, Missouri",Frances McDormand,1,1,1,,115,91100000.0,8.3,7.4,88,0,1,0,0,0,0,0,0,1
2017,Actress,"I, Tonya",Margot Robbie,0,0,0,,120,28000000.0,7.7,7.5,77,1,0,0,0,0,0,0,0,1
2017,Actress,Lady Bird,Saoirse Ronan,0,1,0,,94,44200000.0,7.8,7.2,94,1,1,0,0,0,0,0,0,1
2017,Actress,The Post,Meryl Streep,0,0,0,,116,106500000.0,7.3,7.0,83,1,0,0,1,0,0,0,0,1
