year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1988,Original Screenplay,Big,Gary Ross,0.0,0.0,0.0,0.0,104,151700000.0,7.3,82.0,97.0,1,0,1,0,0,0,1,0,0
1988,Original Screenplay,Bull Durham,Ron Shelton,0.0,0.0,0.0,0.0,108,58000000.0,7.1,82.0,97.0,1,1,0,0,0,0,1,0,0
1988,Original Screenplay,A Fish Called Wanda,John Cleese,0.0,0.0,0.0,0.0,108,62500000.0,7.6,84.0,93.0,0,1,0,0,0,0,0,1,0
1988,Original Screenplay,Running on Empty,Naomi Foner,0.0,1.0,0.0,0.0,111,2835116.0,7.7,68.0,85.0,1,0,0,1,0,0,0,1,0
1989,Original Screenplay,Dead Poets Society,Tom Schulman,0.0,0.0,0.0,1.0,128,235800000.0,8.0,92.0,85.0,1,0,1,0,0,0,1,0,0
1989,Original Screenplay,Crimes and Misdemeanors,Woody Allen,0.0,0.0,0.0,0.0,104,18254702.0,8.0,91.0,93.0,1,0,0,1,0,0,0,0,1
1989,Original Screenplay,Do the Right Thing,Spike Lee,0.0,0.0,0.0,0.0,120,37300000.0,7.9,90.0,93.0,1,1,0,0,0,0,0,1,0
1989,Original Screenplay,"Sex, Lies, and Videotape",Steven Soderbergh,0.0,0.0,0.0,0.0,100,24700000.0,7.2,79.0,98.0,1,1,0,0,0,0,0,1,0
1989,Original Screenplay,When Harry Met Sally...,Nora Ephron,1.0,0.0,0.0,0.0,96,92800000.0,7.6,89.0,89.0,1,1,0,0,0,0,0,1,0
1990,Original Screenplay,Ghost,Bruce Joel Rubin,0.0,0.0,0.0,1.0,127,505700000.0,7.0,80.0,74.0,1,0,0,1,0,0,0,1,0
1990,Original Screenplay,Alice,Woody Allen,0.0,0.0,0.0,0.0,102,7331647.0,6.6,58.0,77.0,1,0,0,1,0,1,0,0,0
1990,Original Screenplay,Avalon,Barry Levinson,0.0,0.0,0.0,0.0,126,15740796.0,7.3,78.0,83.0,1,0,1,0,0,0,0,0,1
1990,Original Screenplay,Green Card,Peter Weir,0.0,0.0,0.0,0.0,107,29900000.0,6.2,51.0,56.0,1,0,0,1,0,1,0,0,0
1990,Original Screenplay,Metropolitan,Whit Stillman,0.0,0.0,0.0,0.0,98,2938208.0,7.5,85.0,91.0,1,0,0,1,0,0,0,1,0
1991,Original Screenplay,Thelma and Louise,Callie Khouri,0.0,1.0,0.0,1.0,129,45400000.0,7.4,82.0,83.0,1,1,0,0,0,0,1,0,0
1991,Original Screenplay,Boyz n the Hood,John Singleton,0.0,0.0,0.0,0.0,112,57500000.0,7.8,93.0,96.0,1,1,0,0,0,0,0,1,0
1991,Original Screenplay,Bugsy,James Toback,0.0,0.0,0.0,0.0,137,49100000.0,6.8,69.0,85.0,1,1,0,0,0,0,0,0,1
1991,Original Screenplay,The Fisher King,Richard LaGravenese,0.0,0.0,0.0,0.0,137,41900000.0,7.6,86.0,82.0,1,1,0,0,0,0,0,1,0
1991,Original Screenplay,Grand Canyon,Lawrence Kasdan,0.0,0.0,0.0,0.0,137,40991329.0,6.9,70.0,81.0,1,1,0,0,0,1,0,0,0
1992,Original Screenplay,The Crying Game,Neil Jordan,0.0,0.0,0.0,1.0,111,62500000.0,7.3,78.0,97.0,0,1,0,0,0,1,0,0,0
1992,Original Screenplay,Husbands and Wives,Woody Allen,1.0,0.0,0.0,0.0,103,10555619.0,7.6,87.0,97.0,1,1,0,0,0,0,0,1,0
1992,Original Screenplay,Lorenzo's Oil,Nick Enright,0.0,0.0,0.0,0.0,129,7286310.0,7.2,79.0,94.0,1,0,0,1,0,1,0,0,0
1992,Original Screenplay,Passion Fish,John Sayles,0.0,0.0,0.0,0.0,135,4814619.0,7.5,81.0,100.0,1,1,0,0,0,0,0,0,1
1992,Original Screenplay,Unforgiven,David Webb Peoples,0.0,0.0,0.0,0.0,131,159200000.0,8.3,93.0,95.0,1,1,0,0,0,0,0,1,0
1993,Original Screenplay,The Piano,Jane Campion,0.0,0.0,0.0,1.0,117,140000000.0,7.6,86.0,90.0,0,1,0,0,0,1,0,0,0
1993,Original Screenplay,Dave,Gary Ross,0.0,0.0,0.0,0.0,110,63270710.0,6.8,71.0,94.0,1,0,0,1,0,0,1,0,0
1993,Original Screenplay,In the Line of Fire,Jeff Maguire,0.0,0.0,0.0,0.0,128,177000000.0,7.2,79.0,95.0,1,1,0,0,0,0,0,1,0
1993,Original Screenplay,Philadelphia,Ron Nyswaner,0.0,0.0,0.0,0.0,126,206700000.0,7.7,89.0,78.0,1,0,0,1,0,1,0,0,0
1993,Original Screenplay,Sleepless in Seattle,Nora Ephron,0.0,0.0,0.0,0.0,105,227800000.0,6.8,75.0,72.0,1,0,1,0,0,0,1,0,0
1994,Original Screenplay,Pulp Fiction,Quentin Tarantino,1.0,1.0,0.0,1.0,154,213900000.0,8.9,96.0,94.0,1,1,0,0,0,0,0,0,1
1994,Original Screenplay,Bullets Over Broadway,Woody Allen,0.0,0.0,0.0,0.0,98,13400000.0,7.5,83.0,96.0,1,1,0,0,0,1,0,0,0
1994,Original Screenplay,Four Weddings and a Funeral,Richard Curtis,0.0,0.0,0.0,0.0,117,245700000.0,7.1,74.0,95.0,0,1,0,0,0,0,1,0,0
1994,Original Screenplay,Heavenly Creatures,Peter Jackson,0.0,0.0,0.0,0.0,99,5438120.0,7.4,83.0,92.0,0,1,0,0,0,0,0,0,1
1994,Original Screenplay,Three Colors: Red,Krzysztof Kielowski,0.0,0.0,0.0,0.0,99,3500000.0,8.1,94.0,100.0,0,1,0,0,0,0,0,0,1
1995,Original Screenplay,The Usual Suspects,Christopher McQuarrie,1.0,0.0,0.0,1.0,106,34400000.0,8.6,96.0,88.0,1,1,0,0,0,0,0,1,0
1995,Original Screenplay,Braveheart,Randall Wallace,0.0,0.0,0.0,0.0,178,210400000.0,8.4,85.0,78.0,1,1,0,0,0,0,1,0,0
1995,Original Screenplay,Mighty Aphrodite,Woody Allen,0.0,0.0,0.0,0.0,95,26000000.0,7.1,73.0,77.0,1,1,0,0,0,0,0,0,1
1995,Original Screenplay,Nixon,Christopher Wilkinson,0.0,0.0,0.0,0.0,192,13700000.0,7.1,74.0,75.0,1,1,0,0,0,1,0,0,0
1995,Original Screenplay,Toy Story,Joss Whedon,0.0,0.0,0.0,0.0,81,373600000.0,8.3,92.0,100.0,1,0,0,0,1,0,0,0,1
1996,Original Screenplay,Fargo,Joel Coen and Ethan Coen,0.0,0.0,0.0,1.0,98,60600000.0,8.1,93.0,94.0,0,1,0,0,0,0,1,0,0
1996,Original Screenplay,Jerry Maguire,Cameron Crowe,0.0,0.0,0.0,0.0,138,273600000.0,7.3,79.0,82.0,1,1,0,0,0,0,0,0,1
1996,Original Screenplay,Lone Star,John Sayles,0.0,0.0,0.0,0.0,135,12408986.0,7.6,83.0,93.0,1,1,0,0,0,0,1,0,0
1996,Original Screenplay,Secrets and Lies,Mike Leigh,1.0,0.0,0.0,0.0,142,13417292.0,8.0,91.0,94.0,0,1,0,0,0,1,0,0,0
1996,Original Screenplay,Shine,Jan Sardi,0.0,0.0,0.0,0.0,105,35900000.0,7.7,90.0,91.0,0,0,0,1,0,1,0,0,0
1997,Original Screenplay,Good Will Hunting,Ben Affleck,0.0,0.0,0.0,1.0,126,225900000.0,8.3,94.0,97.0,1,1,0,0,0,1,0,0,0
1997,Original Screenplay,As Good as It Gets,Mark Andrus,0.0,0.0,0.0,0.0,139,314178011.0,7.7,86.0,86.0,1,0,0,1,0,0,0,0,1
1997,Original Screenplay,Boogie Nights,Paul Thomas Anderson,0.0,0.0,0.0,0.0,155,43100000.0,7.9,89.0,92.0,1,1,0,0,0,0,0,0,1
1997,Original Screenplay,Deconstructing Harry,Woody Allen,0.0,0.0,0.0,0.0,96,10569071.0,7.4,82.0,71.0,1,1,0,0,0,1,0,0,0
1997,Original Screenplay,The Full Monty,Simon Beaufoy,0.0,0.0,0.0,0.0,91,258000000.0,7.2,79.0,95.0,0,1,0,0,0,0,0,1,0
