year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2017,Supporting Actress,Mudbound,Mary J. Blige,0,0,0,,134,36011,7.5,6.2,85,1,1,0,0,0,0,0,0,1
2017,Supporting Actress,"I, Tonya",Allison Janney,1,1,1,,120,28000000.0,7.7,7.5,77,1,0,0,0,0,0,0,0,1
2017,Supporting Actress,Phantom Thread,Lesley Manville,0,0,0,,130,18000000.0,8.0,7.5,90,1,1,0,0,0,0,0,0,1
2017,Supporting Actress,Lady Bird,Laurie Metcalf,0,0,0,,94,44200000.0,7.8,7.2,94,1,1,0,0,0,0,0,0,1
2017,Supporting Actress,The Shape of Water,Octavia Spencer,0,0,0,,123,67000000.0,7.8,7.1,87,1,1,0,0,0,0,0,0,1
