year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2017,Actor,Call Me by Your Name,Timothée Chalamet,0,0,0,,132,22000000.0,8.2,7.4,93,0,1,0,0,0,0,0,0,1
2017,Actor,Phantom Thread,Daniel Day-Lewis,0,0,0,,130,18000000.0,8.0,7.5,90,1,1,0,0,0,0,0,0,1
2017,Actor,Get Out,Daniel Kaluuya,0,0,0,,104,255000000.0,7.7,7.2,84,1,1,0,0,0,1,0,0,0
2017,Actor,Darkest Hour,Gary Oldman,1,1,1,,125,115200000.0,7.4,7.1,75,0,0,0,1,0,0,0,0,1
2017,Actor,"Roman J. Israel, Esq.",Denzel Washington,0,0,0,,122,11900000.0,6.4,6.4,58,1,0,0,1,0,0,0,0,1
