year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2020,Actor,Sound of Metal,RIZ AHMED,0,0,0,0,120,174936,7.8,7.9,82,1,1,0,0,0,0,0,0,1
2020,Actor,Ma Rainey's Black Bottom,CHADWICK BOSEMAN,0,1,1,0,94,0,7,6.6,87,1,1,0,0,0,0,0,0,1
2020,Actor,The Father,ANTHONY HOPKINS,1,0,0,0,97,3054734,8.3,8.8,88,1,0,0,1,0,0,0,0,1
2020,Actor,Mank,GARY OLDMAN,0,0,0,0,131,0,7,6.3,79,1,1,0,0,0,0,0,0,1
2020,Actor,Minari,STEVEN YEUN,0,0,0,0,115,10929587,7.6,8.2,89,1,0,0,1,0,0,0,0,1
