year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2020,Original Screenplay,JUDAS AND THE BLACK MESSIAH,JUDAS AND THE BLACK MESSIAH,0,0,0,0,126,6057415,7.6,7.4,85,1,1,0,0,0,0,0,0,1
2020,Original Screenplay,MINARI,MINARI,0,0,0,0,115,10929587,7.6,8.2,89,1,0,0,1,0,0,0,0,1
2020,Original Screenplay,PROMISING YOUNG WOMAN,PROMISING YOUNG WOMAN,0,0,0,0,113,12508300,7.5,7.3,73,1,1,0,0,0,0,0,0,1
2020,Original Screenplay,SOUND OF METAL,SOUND OF METAL,0,0,0,0,120,174936,7.8,7.9,82,1,1,0,0,0,0,0,0,1
2020,Original Screenplay,THE TRIAL OF THE CHICAGO 7,THE TRIAL OF THE CHICAGO 7,0,1,0,0,129,0,7.8,7.6,76,1,1,0,0,0,0,0,1,0
