year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Actor,Raging Bull,Robert De Niro,0,1,0,1,129,23400000,8.2,93,97,1,1,0,0,0,0,0,0,1
1980,Actor,The Great Santini,Robert Duvall,0,0,0,0,115,4700000,7.2,76,94,1,0,1,0,0,0,0,0,1
1980,Actor,The Elephant Man,John Hurt,1,0,0,0,124,26000000,8.2,93,90,1,0,1,0,0,0,0,0,1
1980,Actor,The Stunt Man,Peter O'Toole,0,0,0,0,131,7068886,7.2,75,89,1,1,0,0,0,0,1,0,0
1981,Actor,On Golden Pond,Henry Fonda,0,1,0,1,109,119300000,7.7,87,92,1,0,1,0,0,1,0,0,0
1981,Actor,Reds,Warren Beatty,0,0,0,0,195,40400000,7.5,82,94,1,0,1,0,0,0,0,0,1
1981,Actor,Atlantic City,Burt Lancaster,1,0,0,0,104,12729675,7.4,77,100,0,1,0,0,0,0,1,0,0
1981,Actor,Arthur,Dudley Moore,0,1,0,0,97,95461682,6.9,77,90,1,0,1,0,0,0,0,1,0
1981,Actor,Absence of Malice,Paul Newman,0,0,0,0,116,40716963,6.9,61,86,1,0,1,0,0,0,0,0,1
1982,Actor,Gandhi,Ben Kingsley,1,1,0,1,191,127800000,8.1,92,88,0,0,1,0,0,1,0,0,0
1982,Actor,Tootsie,Dustin Hoffman,0,1,0,0,116,177200000,7.4,81,89,1,0,1,0,0,0,0,0,1
1982,Actor,Missing,Jack Lemmon,0,0,0,0,122,1416000000,7.8,85,97,1,0,1,0,0,1,0,0,0
1982,Actor,The Verdict,Paul Newman,0,0,0,0,129,53977250,7.8,88,96,1,1,0,0,0,0,0,0,1
1982,Actor,My Favorite Year,Peter O'Toole,0,0,0,0,92,20123620,7.4,85,100,1,0,1,0,0,0,0,0,1
1983,Actor,Tender Mercies,Robert Duvall,0,1,0,1,92,8440000,7.4,82,85,1,0,1,0,0,0,1,0,0
1983,Actor,Educating Rita,Michael Caine,1,1,0,0,110,14600000,7.2,81,85,0,0,1,0,0,0,0,0,1
1983,Actor,The Dresser,Tom Courtenay,0,1,0,0,118,5310748,7.7,88,100,0,0,1,0,0,0,0,0,1
1983,Actor,The Dresser,Albert Finney,0,0,0,0,118,5310748,7.7,88,100,0,0,1,0,0,0,0,0,1
1984,Actor,Amadeus,F. Murray Abraham,0,1,0,1,161,52000000,8.3,95,95,1,1,0,0,0,0,0,1,0
1984,Actor,Starman,Jeff Bridges,0,0,0,0,115,28700000,7,69,81,1,0,1,0,0,0,0,0,1
1984,Actor,Under the Volcano,Albert Finney,0,0,0,0,112,2556800,7.1,70,75,1,1,0,0,0,0,1,0,0
1984,Actor,Amadeus,Tom Hulce,0,0,0,0,161,52000000,8.3,95,95,1,1,0,0,0,0,0,1,0
1984,Actor,The Killing Fields,Sam Waterston,0,0,0,0,141,34700291,7.9,92,93,0,1,0,0,0,1,0,0,0
1985,Actor,Kiss of the Spider Woman,William Hurt,1,0,0,1,121,17005229,7.4,81,88,0,1,0,0,0,0,0,1,0
1985,Actor,Witness,Harrison Ford,0,0,0,0,112,68700000,7.4,80,92,1,1,0,0,0,1,0,0,0
1985,Actor,Murphy's Romance,James Garner,0,0,0,0,107,30762621,7,74,71,1,0,0,1,0,1,0,0,0
1985,Actor,Prizzi's Honor,Jack Nicholson,0,1,0,0,130,26657534,6.8,62,88,1,1,0,0,0,0,1,0,0
1985,Actor,Runaway Train,Jon Voight,0,1,0,0,110,7700000,7.3,76,87,1,1,0,0,0,1,0,0,0
1986,Actor,The Color of Money,Paul Newman,0,0,0,1,120,52300000,7,73,89,1,1,0,0,0,0,0,0,1
1986,Actor,Round Midnight,Dexter Gordon,0,0,0,0,133,10000000,7.4,90,100,1,1,0,0,0,0,0,0,1
1986,Actor,Children of a Lesser God,William Hurt,0,0,0,0,119,31853080,7.2,78,81,1,1,0,0,0,0,0,0,1
1986,Actor,Salvador,James Woods,0,0,0,0,123,1500000,7.5,86,92,1,1,0,0,0,0,1,0,0
1987,Actor,Wall Street,Michael Douglas,0,1,0,1,126,43800000,7.4,81,78,1,1,0,0,0,0,0,0,1
1987,Actor,Broadcast News,William Hurt,0,0,0,0,133,67331309,7.2,78,98,1,1,0,0,0,0,0,0,1
1987,Actor,Ironweed,Jack Nicholson,0,0,0,0,143,7393346,6.8,60,65,1,1,0,0,0,1,0,0,0
1987,Actor,"Good Morning, Vietnam",Robin Williams,0,1,0,0,120,123900000,7.3,82,89,1,1,0,0,0,1,0,0,0
1988,Actor,Rain Man,Dustin Hoffman,0,1,0,1,133,354800000,8,90,90,1,1,0,0,0,0,0,0,1
1988,Actor,Mississippi Burning,Gene Hackman,0,0,0,0,128,34600000,7.8,90,89,1,1,0,0,0,1,0,0,0
1988,Actor,Big,Tom Hanks,0,1,0,0,104,151700000,7.3,82,97,1,0,1,0,0,0,1,0,0
1988,Actor,Stand and Deliver,Edward James Olmos,0,0,0,0,102,13994920,7.3,79,73,1,0,1,0,0,1,0,0,0
1989,Actor,My Left Foot,Daniel Day-Lewis,1,0,0,1,103,14700000,7.9,92,97,0,1,0,0,0,1,0,0,0
1989,Actor,Henry V,Kenneth Branagh,0,0,0,0,137,10200000,7.7,89,100,0,0,0,1,0,0,0,0,1
1989,Actor,Born on the Fourth of July,Tom Cruise,0,1,0,0,145,161000000,7.2,76,90,1,1,0,0,0,1,0,0,0
1989,Actor,Driving Miss Daisy,Morgan Freeman,0,1,0,0,100,145800000,7.4,81,82,1,0,1,0,0,1,0,0,0
1989,Actor,Dead Poets Society,Robin Williams,0,0,0,0,128,235800000,8,92,85,1,0,1,0,0,0,1,0,0
1990,Actor,Reversal of Fortune,Jeremy Irons,0,1,0,1,111,15400000,7.3,77,94,1,1,0,0,0,0,0,0,1
1990,Actor,Dances with Wolves,Kevin Costner,0,0,0,0,181,424200000,8,87,82,1,0,0,1,0,0,0,0,1
1990,Actor,Awakenings,Robert De Niro,0,0,0,0,121,52100000,7.8,89,88,1,0,0,1,0,1,0,0,0
1990,Actor,Cyrano de Bergerac,Grard Depardieu,0,0,0,0,137,41300000,7.6,91,100,0,0,1,0,0,0,0,0,1
1990,Actor,The Field,Richard Harris,0,0,0,0,107,1400000,7.4,81,43,0,0,0,1,0,1,0,0,0
1991,Actor,The Silence of the Lambs,Anthony Hopkins,1,0,0,1,118,272700000,8.6,95,95,1,1,0,0,0,1,0,0,0
1991,Actor,Bugsy,Warren Beatty,0,0,0,0,137,49100000,6.8,69,85,1,1,0,0,0,0,0,0,1
1991,Actor,Cape Fear,Robert De Niro,0,0,0,0,128,182300000,7.3,77,76,1,1,0,0,0,0,0,0,1
1991,Actor,The Prince of Tides,Nick Nolte,0,1,0,0,132,110000000,6.7,70,73,1,1,0,0,0,0,0,0,1
1991,Actor,The Fisher King,Robin Williams,0,1,0,0,137,41900000,7.6,86,82,1,1,0,0,0,0,0,1,0
1992,Actor,Scent of a Woman,Al Pacino,0,1,0,1,156,134100000,8,92,88,1,1,0,0,0,1,0,0,0
1992,Actor,Chaplin,Robert Downey Jr.,1,0,0,0,143,9500000,7.6,81,57,0,0,0,1,0,1,0,0,0
1992,Actor,Unforgiven,Clint Eastwood,0,0,0,0,131,159200000,8.3,93,95,1,1,0,0,0,0,0,1,0
1992,Actor,The Crying Game,Stephen Rea,0,0,0,0,111,62500000,7.3,78,97,0,1,0,0,0,1,0,0,0
1992,Actor,Malcolm X,Denzel Washington,0,0,0,0,202,48200000,7.7,91,91,1,0,0,1,0,0,0,0,1
1993,Actor,Philadelphia,Tom Hanks,0,1,0,1,126,206700000,7.7,89,78,1,0,0,1,0,1,0,0,0
1993,Actor,In the Name of the Father,Daniel Day-Lewis,0,0,0,0,133,65800000,8.1,95,94,0,1,0,0,0,1,0,0,0
1993,Actor,What's Love Got to Do with It,Laurence Fishburne,0,0,0,0,118,39100956,7.2,88,96,1,1,0,0,0,0,1,0,0
1993,Actor,The Remains of the Day,Anthony Hopkins,0,0,0,0,134,63900000,7.9,89,97,0,0,1,0,0,0,0,0,1
1993,Actor,Schindler's List,Liam Neeson,0,0,0,0,197,321200000,8.9,97,96,1,1,0,0,0,1,0,0,0
1994,Actor,Forrest Gump,Tom Hanks,0,1,1,1,142,677900000,8.8,95,72,1,0,0,1,0,0,0,1,0
1994,Actor,The Shawshank Redemption,Morgan Freeman,0,0,0,0,142,58000000,9.3,98,91,1,1,0,0,0,0,0,0,1
1994,Actor,The Madness of King George,Nigel Hawthorne,0,0,0,0,110,15200000,7.2,80,93,0,0,0,1,0,0,0,0,1
1994,Actor,Nobody's Fool,Paul Newman,0,0,0,0,110,39491975,7.4,81,91,1,1,0,0,0,1,0,0,0
1994,Actor,Pulp Fiction,John Travolta,0,0,0,0,154,213900000,8.9,96,94,1,1,0,0,0,0,0,0,1
1995,Actor,Leaving Las Vegas,Nicolas Cage,0,1,1,1,112,32029928,7.6,85,90,1,1,0,0,0,1,0,0,0
1995,Actor,Mr. Holland's Opus,Richard Dreyfuss,0,0,0,0,143,106269971,7.3,83,74,1,0,1,0,0,1,0,0,0
1995,Actor,Nixon,Anthony Hopkins,0,0,0,0,192,13700000,7.1,74,75,1,1,0,0,0,1,0,0,0
1995,Actor,Dead Man Walking,Sean Penn,0,0,0,0,122,83000000,7.6,86,95,1,1,0,0,0,1,0,0,0
1995,Actor,Il Postino,Massimo Troisi,0,0,0,0,108,21848932,7.8,94,93,0,0,1,0,0,1,0,0,0
1996,Actor,Shine,Geoffrey Rush,1,1,1,1,105,35900000,7.7,90,91,0,0,0,1,0,1,0,0,0
1996,Actor,Jerry Maguire,Tom Cruise,0,1,0,0,138,273600000,7.3,79,82,1,1,0,0,0,0,0,0,1
1996,Actor,The English Patient,Ralph Fiennes,0,0,0,0,162,232000000,7.4,83,84,0,1,0,0,0,0,0,0,1
1996,Actor,The People vs. Larry Flynt,Woody Harrelson,0,0,0,0,129,20300000,7.3,80,87,1,1,0,0,0,1,0,0,0
1996,Actor,Sling Blade,Billy Bob Thornton,0,0,0,0,135,24400000,8,93,96,1,1,0,0,0,1,0,0,0
