year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1997,Actor,As Good as It Gets,Jack Nicholson,0,1,1,1,139,314178011,7.7,86,86,1,0,0,1,0,0,0,0,1
1997,Actor,Good Will Hunting,Matt Damon,0,0,0,0,126,225900000,8.3,94,97,1,1,0,0,0,1,0,0,0
1997,Actor,The Apostle,Robert Duvall,0,0,0,0,134,19868354,7.2,78,89,1,0,0,1,0,1,0,0,0
1997,Actor,Ulee's Gold,Peter Fonda,0,1,0,0,113,9054736,7.1,74,94,1,1,0,0,0,0,0,1,0
1997,Actor,Wag the Dog,Dustin Hoffman,0,0,0,0,97,64256513,7.1,76,85,1,1,0,0,0,1,0,0,0
1998,Actor,Life Is Beautiful,Roberto Benigni,0,0,1,1,116,229200000,8.6,96,80,0,0,0,1,0,1,0,0,0
1998,Actor,Saving Private Ryan,Tom Hanks,0,0,0,0,169,481800000,8.6,95,92,1,1,0,0,0,0,0,1,0
1998,Actor,Gods and Monsters,Ian McKellen,0,0,0,0,105,6500000,7.5,83,95,0,1,0,0,0,0,0,0,1
1998,Actor,Affliction,Nick Nolte,0,0,0,0,114,6330054,7,72,87,1,1,0,0,0,1,0,0,0
1998,Actor,American History X,Edward Norton,0,0,0,0,119,23900000,8.6,96,83,1,1,0,0,0,0,0,0,1
1999,Actor,American Beauty,Kevin Spacey,1,0,1,1,122,356300000,8.4,93,88,1,1,0,0,0,0,0,0,1
1999,Actor,The Insider,Russell Crowe,0,0,0,0,157,60200000,7.9,90,96,1,1,0,0,0,0,0,0,1
1999,Actor,The Straight Story,Richard Farnsworth,0,0,0,0,112,6203044,8,91,96,1,0,0,0,1,0,0,0,1
1999,Actor,Sweet and Lowdown,Sean Penn,0,0,0,0,95,4197015,7.3,81,78,1,0,0,1,0,1,0,0,0
1999,Actor,The Hurricane,Denzel Washington,0,1,0,0,145,74000000,7.6,87,83,1,1,0,0,0,1,0,0,0
2000,Actor,Gladiator,Russell Crowe,0,0,0,1,155,457600000,8.5,87,76,0,1,0,0,0,0,1,0,0
2000,Actor,Before Night Falls,Javier Bardem,0,0,0,0,133,8527517,7.3,84,73,1,1,0,0,0,1,0,0,0
2000,Actor,Cast Away,Tom Hanks,0,1,0,0,143,429600000,7.7,83,90,1,0,0,1,0,0,0,0,1
2000,Actor,Pollock,Ed Harris,0,0,0,0,122,10558970,7,74,81,1,1,0,0,0,1,0,0,0
2000,Actor,Quills,Geoffrey Rush,0,0,0,0,124,18000000,7.4,83,75,1,1,0,0,0,0,0,0,1
2001,Actor,Training Day,Denzel Washington,0,0,0,1,122,104500000,7.7,89,72,1,1,0,0,0,0,0,0,1
2001,Actor,A Beautiful Mind,Russell Crowe,1,1,1,0,135,313000000,8.2,93,75,1,0,0,1,0,1,0,0,0
2001,Actor,I Am Sam,Sean Penn,0,0,0,0,134,97818139,7.6,87,34,1,0,0,1,0,1,0,0,0
2001,Actor,Ali,Will Smith,0,0,0,0,157,87700000,6.8,65,67,1,1,0,0,0,0,0,0,1
2001,Actor,In the Bedroom,Tom Wilkinson,0,0,0,0,131,43400000,7.5,81,93,1,1,0,0,0,1,0,0,0
2002,Actor,The Pianist,Adrien Brody,0,0,0,1,150,120100000,8.5,95,96,0,1,0,0,0,1,0,0,0
2002,Actor,Adaptation,Nicolas Cage,0,0,0,0,114,32800000,7.7,85,91,1,1,0,0,0,1,0,0,0
2002,Actor,The Quiet American,Michael Caine,0,0,0,0,101,27674124,7.1,73,87,0,1,0,0,0,1,0,0,0
2002,Actor,Gangs of New York,Daniel Day-Lewis,1,0,1,0,168,193700000,7.5,81,75,1,1,0,0,0,0,0,0,1
2002,Actor,About Schmidt,Jack Nicholson,0,1,0,0,124,105834556,7.2,74,85,1,1,0,0,0,1,0,0,0
2003,Actor,Mystic River,Sean Penn,0,1,0,1,137,156800000,8,89,87,1,1,0,0,0,0,0,0,1
2003,Actor,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0,0,1,0,143,654300000,8,86,79,1,0,0,1,0,0,0,1,0
2003,Actor,House of Sand and Fog,Ben Kingsley,0,0,0,0,124,16942795,7.6,83,74,1,1,0,0,0,1,0,0,0
2003,Actor,Cold Mountain,Jude Law,0,0,0,0,154,173000000,7.2,77,71,1,1,0,0,0,0,0,0,1
2003,Actor,Lost in Translation,Bill Murray,1,1,0,0,101,119700000,7.8,86,95,1,1,0,0,0,0,0,0,1
2004,Actor,Ray,Jamie Foxx,1,1,1,1,152,124700000,7.7,87,81,1,0,0,1,0,0,0,0,1
2004,Actor,Hotel Rwanda,Don Cheadle,0,0,0,0,121,33900000,8.1,94,90,0,0,0,1,0,1,0,0,0
2004,Actor,Finding Neverland,Johnny Depp,0,0,0,0,101,116800000,7.7,87,83,0,0,1,0,0,0,0,0,1
2004,Actor,The Aviator,Leonardo DiCaprio,0,1,0,0,170,213700000,7.5,79,87,1,0,0,1,0,0,0,0,1
2004,Actor,Million Dollar Baby,Clint Eastwood,0,0,0,0,132,216800000,8.1,90,91,1,0,0,1,0,1,0,0,0
2005,Actor,Capote,Philip Seymour Hoffman,1,1,1,1,114,49200000,7.4,81,90,1,1,0,0,0,1,0,0,0
2005,Actor,Hustle and Flow,Terrence Howard,0,0,0,0,116,23600000,7.4,82,82,1,1,0,0,0,0,0,1,0
2005,Actor,Brokeback Mountain,Heath Ledger,0,0,0,0,134,178100000,7.7,82,87,1,1,0,0,0,1,0,0,0
2005,Actor,Walk the Line,Joaquin Phoenix,0,1,0,0,136,186400000,7.9,90,82,1,0,0,1,0,0,0,0,1
2005,Actor,"Good Night, and Good Luck",David Strathairn,0,0,0,0,93,56500000,7.5,83,93,1,0,1,0,0,0,0,0,1
2006,Actor,The Last King of Scotland,Forest Whitaker,1,1,1,1,123,48400000,7.7,89,87,0,1,0,0,0,1,0,0,0
2006,Actor,Blood Diamond,Leonardo DiCaprio,0,0,0,0,143,171400000,8,90,62,1,1,0,0,0,0,0,0,1
2006,Actor,Half Nelson,Ryan Gosling,0,0,0,0,106,4900000,7.2,83,90,1,1,0,0,0,0,0,1,0
2006,Actor,Venus,Peter O'Toole,0,0,0,0,95,7261490,7.1,74,89,0,1,0,0,0,1,0,0,0
2006,Actor,The Pursuit of Happyness,Will Smith,0,0,0,0,117,307100000,8,87,67,1,0,0,1,0,0,0,0,1
2007,Actor,There Will Be Blood,Daniel Day-Lewis,1,1,1,1,158,76200000,8.1,86,91,1,1,0,0,0,1,0,0,0
2007,Actor,Michael Clayton,George Clooney,0,0,0,0,119,92900000,7.3,69,90,1,1,0,0,0,0,0,0,1
2007,Actor,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,0,1,0,0,116,152500000,7.4,81,86,0,1,0,0,0,0,0,0,1
2007,Actor,In the Valley of Elah,Tommy Lee Jones,0,0,0,0,121,29500000,7.2,77,73,1,1,0,0,0,0,0,1,0
2007,Actor,Eastern Promises,Viggo Mortensen,0,0,0,0,101,56100000,7.7,83,89,0,1,0,0,0,0,0,1,0
2008,Actor,Milk,Sean Penn,0,0,1,1,128,54600000,7.6,89,94,1,1,0,0,0,1,0,0,0
2008,Actor,The Visitor,Richard Jenkins,0,0,0,0,103,18078175,7.7,84,89,1,0,0,1,0,0,1,0,0
2008,Actor,Frost/Nixon,Frank Langella,0,0,0,0,122,27400000,7.7,88,92,1,1,0,0,0,1,0,0,0
2008,Actor,The Curious Case of Benjamin Button,Brad Pitt,0,0,0,0,166,333900000,7.8,80,72,1,0,0,1,0,0,0,0,1
2008,Actor,The Wrestler,Mickey Rourke,1,1,0,0,109,44700000,7.9,88,98,1,1,0,0,0,1,0,0,0
2009,Actor,Crazy Heart,Jeff Bridges,0,1,1,1,112,47400000,7.3,76,91,1,1,0,0,0,1,0,0,0
2009,Actor,Up in the Air,George Clooney,0,0,0,0,109,166800000,7.4,79,91,1,1,0,0,0,0,0,0,1
2009,Actor,A Single Man,Colin Firth,1,0,0,0,100,25000000,7.6,81,85,1,1,0,0,0,1,0,0,0
2009,Actor,Invictus,Morgan Freeman,0,0,0,0,133,122200000,7.4,74,76,1,0,0,1,0,0,0,0,1
2009,Actor,The Hurt Locker,Jeremy Renner,0,0,0,0,131,49200000,7.6,84,98,1,1,0,0,0,0,0,1,0
2010,Actor,The King's Speech,Colin Firth,1,1,1,1,119,414200000,8,92,95,0,1,0,0,0,0,0,0,1
2010,Actor,Biutiful,Javier Bardem,0,0,0,0,147,25100000,7.5,74,64,0,1,0,0,0,1,0,0,0
2010,Actor,True Grit,Jeff Bridges,0,0,0,0,128,43700000,7.4,83,90,1,0,0,1,0,0,1,0,0
2010,Actor,The Social Network,Jesse Eisenberg,0,0,0,0,120,224900000,7.7,86,96,1,0,0,1,0,0,0,0,1
2010,Actor,127 Hours,James Franco,0,0,0,0,93,60700000,7.6,85,93,0,1,0,0,0,1,0,0,0
2011,Actor,The Artist,Jean Dujardin,1,1,1,1,100,133400000,7.9,87,96,0,0,0,1,0,1,0,0,0
2011,Actor,A Better Life,Demin Bichir,0,0,0,0,94,1759252,7.2,79,85,1,0,0,1,0,0,0,1,0
2011,Actor,The Descendants,George Clooney,0,1,0,0,115,177200000,7.3,79,89,1,1,0,0,0,0,0,0,1
2011,Actor,Tinker Tailor Soldier Spy,Gary Oldman,0,0,0,0,127,80600000,7.1,65,83,0,1,0,0,0,1,0,0,0
2011,Actor,Moneyball,Brad Pitt,0,0,0,0,133,110200000,7.6,86,94,1,0,0,1,0,0,0,1,0
2012,Actor,Lincoln,Daniel Day-Lewis,1,1,1,1,150,275300000,7.4,80,90,1,0,0,1,0,0,0,0,1
2012,Actor,Silver Linings Playbook,Bradley Cooper,0,0,0,0,122,236400000,7.8,86,92,1,1,0,0,0,0,0,0,1
2012,Actor,Les Misrables,Hugh Jackman,0,1,0,0,158,441800000,7.6,79,69,0,0,0,1,0,0,0,0,1
2012,Actor,The Master,Joaquin Phoenix,0,0,0,0,137,28300000,7.1,61,86,1,1,0,0,0,0,0,1,0
2012,Actor,Flight,Denzel Washington,0,0,0,0,138,161800000,7.3,75,78,1,1,0,0,0,0,0,0,1
2013,Actor,Dallas Buyers Club,Matthew McConaughey,0,1,1,1,116,55200000,8,91,94,1,1,0,0,0,0,0,0,1
2013,Actor,American Hustle,Christian Bale,0,0,0,0,138,251100000,7.3,74,93,1,1,0,0,0,0,0,0,1
2013,Actor,Nebraska,Bruce Dern,0,0,0,0,114,27700000,7.7,83,91,1,1,0,0,0,1,0,0,0
2013,Actor,The Wolf of Wall Street,Leonardo DiCaprio,0,1,0,0,179,392000000,8.2,82,77,1,1,0,0,0,0,0,0,1
2013,Actor,12 Years a Slave,Chiwetel Ejiofor,1,0,0,0,134,187700000,8.1,90,96,1,1,0,0,0,0,0,0,1
2014,Actor,The Theory of Everything,Eddie Redmayne,1,1,1,1,123,123700000,7.7,84,79,0,0,0,1,0,0,0,0,1
2014,Actor,Foxcatcher,Steve Carell,0,0,0,0,134,13600000,7,66,88,1,1,0,0,0,1,0,0,0
2014,Actor,American Sniper,Bradley Cooper,0,0,0,0,132,547400000,7.3,84,72,1,1,0,0,0,1,0,0,0
2014,Actor,The Imitation Game,Benedict Cumberbatch,0,0,0,0,114,233600000,8.1,91,90,1,0,0,1,0,0,0,0,1
2014,Actor,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,0,0,0,0,119,103200000,7.8,77,91,1,1,0,0,0,0,0,0,1
2015,Actor,The Revenant,Leonardo DiCaprio,1,1,1,1,156,533000000,8,84,81,1,1,0,0,0,1,0,0,0
2015,Actor,Trumbo,Bryan Cranston,0,0,0,0,124,11400000,7.5,79,74,1,1,0,0,0,0,0,0,1
2015,Actor,The Martian,Matt Damon,0,1,0,0,141,630200000,8,91,92,1,0,0,1,0,0,0,0,1
2015,Actor,Steve Jobs,Michael Fassbender,0,0,0,0,122,34400000,7.2,73,86,1,1,0,0,0,0,0,0,1
2015,Actor,The Danish Girl,Eddie Redmayne,0,0,0,0,119,64200000,7,73,69,0,1,0,0,0,1,0,0,0
2016,Actor,Manchester by the Sea,Casey Affleck,1,1,0,1,137,60700000,8.1,81,96,1,1,0,0,0,0,0,0,1
2016,Actor,Hacksaw Ridge,Andrew Garfield,0,0,0,0,139,174900000,8.3,93,86,1,1,0,0,0,0,0,0,1
2016,Actor,La La Land,Ryan Gosling,0,1,0,0,128,341100000,8.5,85,93,1,0,0,1,0,0,0,0,1
2016,Actor,Captain Fantastic,Viggo Mortensen,0,0,0,0,118,10200000,7.9,85,83,1,1,0,0,0,0,0,1,0
2016,Actor,Fences,Denzel Washington,0,0,1,0,139,55600000,7.4,79,93,1,0,0,1,0,0,0,0,1
2017,Actor,Call Me by Your Name,Timothée Chalamet,0,0,0,0,132,22000000,8.2,7.4,93,0,1,0,0,0,0,0,0,1
2017,Actor,Phantom Thread,Daniel Day-Lewis,0,0,0,0,130,18000000,8,7.5,90,1,1,0,0,0,0,0,0,1
2017,Actor,Get Out,Daniel Kaluuya,0,0,0,0,104,255000000,7.7,7.2,84,1,1,0,0,0,1,0,0,0
2017,Actor,Darkest Hour,Gary Oldman,1,1,1,1,125,115200000,7.4,7.1,75,0,0,0,1,0,0,0,0,1
2017,Actor,"Roman J. Israel, Esq.",Denzel Washington,0,0,0,0,122,11900000,6.4,6.4,58,1,0,0,1,0,0,0,0,1
2018,Actor,Vice,Christian Bale,0,1,0,0,132,42197631,7.1,6.2,61,1,1,0,0,0,0,0,0,1
2018,Actor,A Star Is Born,Bradley Cooper,0,0,0,0,136,206361489,8,8.5,88,1,1,0,0,0,0,0,0,1
2018,Actor,At Eternity's Gate,Willem Dafoe,0,0,0,0,111,2208801,7.1,6.2,78,1,0,0,1,0,0,0,0,1
2018,Actor,Bohemian Rhapsody,Rami Malek,1,1,1,1,134,205821056,8.2,8.1,49,1,0,0,1,0,0,0,0,1
2018,Actor,Green Book ,Viggo Mortensen,0,0,0,0,130,49078216,8.3,7.8,70,1,0,0,1,0,0,0,0,1
2019,Actor,Pain and Glory,Antonio Banderas,0,0,0,0,113,36555651,7.7,8,88,0,1,0,0,0,0,0,0,1
2019,Actor,Once Upon a Time... in Hollywood,Leoardo DiCaprio,0,0,0,0,161,373058543,7.8,7.6,83,1,1,0,0,0,0,0,1,0
2019,Actor,Marriage Story,Adam Driver,0,0,0,0,136,2300000,8.1,8,93,1,1,0,0,0,0,0,0,1
2019,Actor,Joker,Joaquin Phoenix,1,1,1,1,122,1069147201,8.6,9.1,59,1,1,0,0,0,0,0,1,0
2019,Actor,The Two Popes,Jonathan Price,0,0,0,0,125,204998,7.6,7.5,75,1,0,0,1,0,0,0,0,1
