year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1989,Original Screenplay,When Harry Met Sally...,Nora Ephron,1,0,0,0,96,92800000,7.6,89,89,1,1,0,0,0,0,0,1,0
1990,Original Screenplay,Ghost,Bruce Joel Rubin,0,0,0,1,127,505700000,7,80,74,1,0,0,1,0,0,0,1,0
1990,Original Screenplay,Alice,Woody Allen,0,0,0,0,102,7331647,6.6,58,77,1,0,0,1,0,1,0,0,0
1990,Original Screenplay,Avalon,Barry Levinson,0,0,0,0,126,15740796,7.3,78,83,1,0,1,0,0,0,0,0,1
1990,Original Screenplay,Green Card,Peter Weir,0,0,0,0,107,29900000,6.2,51,56,1,0,0,1,0,1,0,0,0
1990,Original Screenplay,Metropolitan,Whit Stillman,0,0,0,0,98,2938208,7.5,85,91,1,0,0,1,0,0,0,1,0
1991,Original Screenplay,Thelma and Louise,Callie Khouri,0,1,0,1,129,45400000,7.4,82,83,1,1,0,0,0,0,1,0,0
1991,Original Screenplay,Boyz n the Hood,John Singleton,0,0,0,0,112,57500000,7.8,93,96,1,1,0,0,0,0,0,1,0
1991,Original Screenplay,Bugsy,James Toback,0,0,0,0,137,49100000,6.8,69,85,1,1,0,0,0,0,0,0,1
1991,Original Screenplay,The Fisher King,Richard LaGravenese,0,0,0,0,137,41900000,7.6,86,82,1,1,0,0,0,0,0,1,0
1991,Original Screenplay,Grand Canyon,Lawrence Kasdan,0,0,0,0,137,40991329,6.9,70,81,1,1,0,0,0,1,0,0,0
1992,Original Screenplay,The Crying Game,Neil Jordan,0,0,0,1,111,62500000,7.3,78,97,0,1,0,0,0,1,0,0,0
1992,Original Screenplay,Husbands and Wives,Woody Allen,1,0,0,0,103,10555619,7.6,87,97,1,1,0,0,0,0,0,1,0
1992,Original Screenplay,Lorenzo's Oil,Nick Enright,0,0,0,0,129,7286310,7.2,79,94,1,0,0,1,0,1,0,0,0
1992,Original Screenplay,Passion Fish,John Sayles,0,0,0,0,135,4814619,7.5,81,100,1,1,0,0,0,0,0,0,1
1992,Original Screenplay,Unforgiven,David Webb Peoples,0,0,0,0,131,159200000,8.3,93,95,1,1,0,0,0,0,0,1,0
1993,Original Screenplay,The Piano,Jane Campion,0,0,0,1,117,140000000,7.6,86,90,0,1,0,0,0,1,0,0,0
1993,Original Screenplay,Dave,Gary Ross,0,0,0,0,110,63270710,6.8,71,94,1,0,0,1,0,0,1,0,0
1993,Original Screenplay,In the Line of Fire,Jeff Maguire,0,0,0,0,128,177000000,7.2,79,95,1,1,0,0,0,0,0,1,0
1993,Original Screenplay,Philadelphia,Ron Nyswaner,0,0,0,0,126,206700000,7.7,89,78,1,0,0,1,0,1,0,0,0
1993,Original Screenplay,Sleepless in Seattle,Nora Ephron,0,0,0,0,105,227800000,6.8,75,72,1,0,1,0,0,0,1,0,0
1994,Original Screenplay,Pulp Fiction,Quentin Tarantino,1,1,0,1,154,213900000,8.9,96,94,1,1,0,0,0,0,0,0,1
1994,Original Screenplay,Bullets Over Broadway,Woody Allen,0,0,0,0,98,13400000,7.5,83,96,1,1,0,0,0,1,0,0,0
1994,Original Screenplay,Four Weddings and a Funeral,Richard Curtis,0,0,0,0,117,245700000,7.1,74,95,0,1,0,0,0,0,1,0,0
1994,Original Screenplay,Heavenly Creatures,Peter Jackson,0,0,0,0,99,5438120,7.4,83,92,0,1,0,0,0,0,0,0,1
1994,Original Screenplay,Three Colors: Red,Krzysztof Kielowski,0,0,0,0,99,3500000,8.1,94,100,0,1,0,0,0,0,0,0,1
1995,Original Screenplay,The Usual Suspects,Christopher McQuarrie,1,0,0,1,106,34400000,8.6,96,88,1,1,0,0,0,0,0,1,0
1995,Original Screenplay,Braveheart,Randall Wallace,0,0,0,0,178,210400000,8.4,85,78,1,1,0,0,0,0,1,0,0
1995,Original Screenplay,Mighty Aphrodite,Woody Allen,0,0,0,0,95,26000000,7.1,73,77,1,1,0,0,0,0,0,0,1
