year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2020,Supporting Actor,The Trial of the Chicago 7,SACHA BARON COHEN,0,0,0,0,129,0,7.8,7.6,76,1,1,0,0,0,0,0,1,0
2020,Supporting Actor,Judas and the Black Messiah,DANIEL KALUUYA,1,1,1,0,126,6057415,7.6,7.4,85,1,1,0,0,0,0,0,0,1
2020,Supporting Actor,One Night in Miami…,"LESLIE ODOM, JR.",0,0,0,0,114,0,7.2,6.7,83,1,1,0,0,0,0,0,0,1
2020,Supporting Actor,Sound of Metal,PAUL RACI,0,0,0,0,120,174936,7.8,7.9,82,1,1,0,0,0,0,0,0,1
2020,Supporting Actor,Judas and the Black Messiah,LAKEITH STANFIELD,0,0,0,0,126,6057415,7.6,7.4,85,1,1,0,0,0,0,0,0,1
