year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2020,Adapted Screenplay,BORAT SUBSEQUENT MOVIEFILM,BORAT SUBSEQUENT MOVIEFILM,0,0,0,0,95,0,6.7,5.8,68,1,1,0,0,0,0,0,0,1
2020,Adapted Screenplay,THE FATHER,THE FATHER,1,0,0,0,97,3054734,8.3,8.8,88,1,0,0,1,0,0,0,0,1
2020,Adapted Screenplay,NOMADLAND,NOMADLAND,0,0,0,0,107,5035944,7.5,7.6,93,1,1,0,0,0,0,0,0,1
2020,Adapted Screenplay,ONE NIGHT IN MIAMI…,ONE NIGHT IN MIAMI…,0,0,0,0,114,0,7.2,6.7,83,1,1,0,0,0,0,0,0,1
2020,Adapted Screenplay,THE WHITE TIGER,THE WHITE TIGER,0,0,0,0,125,0,7.1,7.2,76,1,1,0,0,0,0,0,0,1
