year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2019,Picture,Ford vs Ferrari,Ford vs Ferrari,0,0,0,0,192,216027388,8.2,8.2,92,1,0,0,1,0,0,0,0,1
2019,Picture,The Irishman,The Irishman,0,0,0,0,209,961224,8,8.2,94,1,1,0,0,0,0,0,1,0
2019,Picture,JoJo Rabbit,JoJo Rabbit,0,0,0,0,108,43837072,8.1,6.8,58,1,0,0,1,0,0,0,0,1
2019,Picture,Joker,Joker,0,0,0,0,122,1069147201,8.6,9.1,59,1,1,0,0,0,0,0,1,0
2019,Picture,Little Women,Little Women,0,0,0,0,135,130191052,8.2,7.7,87,1,0,1,0,0,0,0,0,1
2019,Picture,Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood,1,1,0,0,161,373058543,7.8,7.6,83,1,1,0,0,0,0,0,1,0
2019,Picture,1917,1917,1,1,0,0,119,143336984,8.6,8.4,79,1,1,0,0,0,0,0,0,1
2019,Picture,Marriage Story,Marriage Story,0,0,0,0,136,2300000,8.1,8,93,1,1,0,0,0,0,0,0,1
2019,Picture,Parasite,Parasite,0,0,0,0,132,139600731,8.6,8.9,96,0,1,0,0,0,0,1,0,0
