year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2020,Actress,Ma Rainey's Black Bottom,VIOLA DAVIS,0,0,1,0,94,0,7,6.6,87,1,1,0,0,0,0,0,0,1
2020,Actress,The United States vs. Billie Holiday,ANDRA DAY,0,1,0,0,130,9287,6.3,5.7,52,1,1,0,0,0,0,0,0,1
2020,Actress,Pieces of a Woman,VANESSA KIRBY,0,0,0,0,126,0,7.1,6.7,66,1,1,0,0,0,0,0,0,1
2020,Actress,Nomadland,FRANCES MCDORMAND,1,0,0,0,107,5035944,7.5,7.6,93,1,1,0,0,0,0,0,0,1
2020,Actress,Promising Young Woman,CAREY MULLIGAN,0,0,0,0,113,12508300,7.5,7.3,73,1,1,0,0,0,0,0,0,1
