year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2020,Supporting Actress,Borat Subsequent Moviefilm,MARIA BAKALOVA,0,0,0,0,95,0,6.7,5.8,68,1,1,0,0,0,0,0,0,1
2020,Supporting Actress,Hillbilly Elegy,GLENN CLOSE,0,0,0,0,116,0,6.7,7.7,38,1,1,0,0,0,0,0,0,1
2020,Supporting Actress,The Father,OLIVIA COLMAN,0,0,0,0,97,3054734,8.3,8.8,88,1,0,0,1,0,0,0,0,1
2020,Supporting Actress,Mank,AMANDA SEYFRIED,0,0,0,0,126,6057415,7.6,7.4,85,1,1,0,0,0,0,0,0,1
2020,Supporting Actress,Minari,YUH-JUNG YOUN,1,0,1,0,115,10929587,7.6,8.2,89,1,0,0,1,0,0,0,0,1
